"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
"    Percent","50.6%","49.4%","(X)","79.7%","1.4%","1.2%","0.9%","N","N","5.3%","11.2%"
" -> Navajo County, Arizona","","","","","","","","","","",""
"    Estimate","55,149","54,026","40.4","48,202","1,134","45,172","432","N","N","5,713","8,236"
"    Percent","50.5%","49.5%","(X)","44.2%","1.0%","41.4%","0.4%","N","N","5.2%","7.5%"
" -> Pima County, Arizona","","","","","","","","","","",""
"    Estimate","525,359","537,803","40.1","614,530","41,665","27,841","30,181","8,064","2,221","98,864","248,363"
"    Percent","49.4%","50.6%","(X)","57.8%","3.9%","2.6%","2.8%","0.8%","0.2%","9.3%","23.4%"
" -> Pinal County, Arizona","","","","","","","","","","",""
"    Estimate","248,773","235,466","40.7","296,627","29,576","18,855","10,496","737","267","40,510","87,114"
"    Percent","51.4%","48.6%","(X)","61.3%","6.1%","3.9%","2.2%","0.2%","0.1%","8.4%","18.0%"
" -> Yavapai County, Arizona","","","","","","","","","","",""
"    Estimate","121,814","127,267","55.3","197,718","1,393","4,131","3,145","363","753","9,114","32,347"
"    Percent","48.9%","51.1%","(X)","79.4%","0.6%","1.7%","1.3%","0.1%","0.3%","3.7%","13.0%"
" -> Yuma County, Arizona","","","","","","","","","","",""
"    Estimate","110,273","102,948","37.2","78,054","4,078","2,805","1,971","N","N","30,324","95,840"
"    Percent","51.7%","48.3%","(X)","36.6%","1.9%","1.3%","0.9%","N","N","14.2%","44.9%"
" -> Benton County, Arkansas","","","","","","","","","","",""
"    Estimate","154,609","156,404","35.9","179,736","4,647","2,901","14,447","985","104","8,790","98,115"
"    Percent","49.7%","50.3%","(X)","57.8%","1.5%","0.9%","4.6%","0.3%","0.0%","2.8%","31.5%"
" -> Craighead County, Arkansas","","","","","","","","","","",""
"    Estimate","55,699","58,294","35.1","81,973","17,222","347","1,353","N","N","2,255","10,843"
"    Percent","48.9%","51.1%","(X)","71.9%","15.1%","0.3%","1.2%","N","N","2.0%","9.5%"
" -> Faulkner County, Arkansas","","","","","","","","","","",""
"    Estimate","62,814","67,137","34.6","102,789","15,488","385","1,788","N","N","2,816","6,502"
"    Percent","48.3%","51.7%","(X)","79.1%","11.9%","0.3%","1.4%","N","N","2.2%","5.0%"
" -> Garland County, Arkansas","","","","","","","","","","",""
"    Estimate","47,902","51,882","45.9","83,162","6,827","730","905","N","N","1,255","6,468"
"    Percent","48.0%","52.0%","(X)","83.3%","6.8%","0.7%","0.9%","N","N","1.3%","6.5%"
" -> Jefferson County, Arkansas","","","","","","","","","","",""
"    Estimate","31,830","31,831","40.5","23,464","36,835","758","119","N","N","636","1,849"
"    Percent","50.0%","50.0%","(X)","36.9%","57.9%","1.2%","0.2%","N","N","1.0%","2.9%"
" -> Lonoke County, Arkansas","","","","","","","","","","",""
"    Estimate","36,847","39,097","39.9","64,029","4,516","330","1,030","N","N","1,905","4,134"
"    Percent","48.5%","51.5%","(X)","84.3%","5.9%","0.4%","1.4%","N","N","2.5%","5.4%"
" -> Pulaski County, Arkansas","","","","","","","","","","",""
"    Estimate","191,476","208,533","38.0","197,007","149,244","1,356","8,772","431","0","9,670","33,805"
"    Percent","47.9%","52.1%","(X)","49.3%","37.3%","0.3%","2.2%","0.1%","0.0%","2.4%","8.5%"
" -> Saline County, Arkansas","","","","","","","","","","",""
"    Estimate","63,838","65,736","41.5","102,912","11,656","452","1,642","N","N","2,464","10,448"
"    Percent","49.3%","50.7%","(X)","79.4%","9.0%","0.3%","1.3%","N","N","1.9%","8.1%"
" -> Sebastian County, Arkansas","","","","","","","","","","",""
"    Estimate","63,275","65,823","38.5","86,890","7,761","827","5,507","N","N","15,544","12,569"
"    Percent","49.0%","51.0%","(X)","67.3%","6.0%","0.6%","4.3%","N","N","12.0%","9.7%"
" -> Washington County, Arkansas","","","","","","","","","","",""
"    Estimate","131,418","130,131","32.9","163,475","6,100","2,453","5,997","105","74","11,762","63,656"
"    Percent","50.2%","49.8%","(X)","62.5%","2.3%","0.9%","2.3%","0.0%","0.0%","4.5%","24.3%"
" -> White County, Arkansas","","","","","","","","","","",""
"    Estimate","38,267","40,185","38.3","68,403","3,673","449","29","N","N","832","5,066"
"    Percent","48.8%","51.2%","(X)","87.2%","4.7%","0.6%","0.0%","N","N","1.1%","6.5%"
" -> Alameda County, California","","","","","","","","","","",""
"    Estimate","804,529","817,659","39.5","476,653","152,183","16,656","544,257","182,398","9,852","219,039","201,264"
"    Percent","49.6%","50.4%","(X)","29.4%","9.4%","1.0%","33.6%","11.2%","0.6%","13.5%","12.4%"
" -> Butte County, California","","","","","","","","","","",""
"    Estimate","103,350","103,822","35.9","139,491","3,125","2,154","11,456","1,066","692","19,583","31,313"
"    Percent","49.9%","50.1%","(X)","67.3%","1.5%","1.0%","5.5%","0.5%","0.3%","9.5%","15.1%"
" -> Contra Costa County, California","","","","","","","","","","",""
"    Estimate","568,036","586,989","40.9","460,164","93,333","12,612","227,976","53,401","9,140","166,816","189,559"
"    Percent","49.2%","50.8%","(X)","39.8%","8.1%","1.1%","19.7%","4.6%","0.8%","14.4%","16.4%"
" -> El Dorado County, California","","","","","","","","","","",""
"    Estimate","96,111","96,104","46.5","144,555","1,917","1,376","10,041","2,194","342","8,455","25,724"
"    Percent","50.0%","50.0%","(X)","75.2%","1.0%","0.7%","5.2%","1.1%","0.2%","4.4%","13.4%"
" -> Fresno County, California","","","","","","","","","","",""
"    Estimate","510,406","506,756","33.9","354,448","40,065","17,077","116,969","5,466","5,320","245,781","241,133"
"    Percent","50.2%","49.8%","(X)","34.8%","3.9%","1.7%","11.5%","0.5%","0.5%","24.2%","23.7%"
" -> Humboldt County, California","","","","","","","","","","",""
"    Estimate","66,333","67,652","39.5","96,882","1,146","5,560","5,031","352","137","7,376","17,824"
"    Percent","49.5%","50.5%","(X)","72.3%","0.9%","4.1%","3.8%","0.3%","0.1%","5.5%","13.3%"
" -> Imperial County, California","","","","","","","","","","",""
"    Estimate","90,764","88,293","33.4","28,791","1,929","4,156","2,370","N","N","80,514","61,008"
"    Percent","50.7%","49.3%","(X)","16.1%","1.1%","2.3%","1.3%","N","N","45.0%","34.1%"
" -> Kern County, California","","","","","","","","","","",""
"    Estimate","463,728","450,092","32.7","365,758","47,436","15,611","46,588","4,045","1,366","200,306","236,665"
"    Percent","50.7%","49.3%","(X)","40.0%","5.2%","1.7%","5.1%","0.4%","0.1%","21.9%","25.9%"
" -> Kings County, California","","","","","","","","","","",""
"    Estimate","83,894","68,788","33.2","57,518","10,102","3,035","5,399","265","414","41,722","34,873"
"    Percent","54.9%","45.1%","(X)","37.7%","6.6%","2.0%","3.5%","0.2%","0.3%","27.3%","22.8%"
" -> Lake County, California","","","","","","","","","","",""
"    Estimate","33,469","34,409","43.2","43,217","2,370","1,882","960","N","N","10,860","8,182"
"    Percent","49.3%","50.7%","(X)","63.7%","3.5%","2.8%","1.4%","N","N","16.0%","12.1%"
" -> Los Angeles County, California","","","","","","","","","","",""
"    Estimate","4,781,489","4,881,856","38.6","2,911,951","733,060","150,410","1,481,627","482,693","83,603","2,456,346","1,907,964"
"    Percent","49.5%","50.5%","(X)","30.1%","7.6%","1.6%","15.3%","5.0%","0.9%","25.4%","19.7%"
" -> Madera County, California","","","","","","","","","","",""
"    Estimate","81,144","81,714","35.0","58,508","4,649","6,006","3,471","N","N","54,060","34,840"
"    Percent","49.8%","50.2%","(X)","35.9%","2.9%","3.7%","2.1%","N","N","33.2%","21.4%"
" -> Marin County, California","","","","","","","","","","",""
"    Estimate","124,934","129,473","48.2","169,406","6,131","1,379","15,927","4,013","1,132","28,272","33,173"
"    Percent","49.1%","50.9%","(X)","66.6%","2.4%","0.5%","6.3%","1.6%","0.4%","11.1%","13.0%"
" -> Mendocino County, California","","","","","","","","","","",""
"    Estimate","45,615","43,493","44.5","55,410","946","1,629","2,647","N","N","6,791","21,649"
"    Percent","51.2%","48.8%","(X)","62.2%","1.1%","1.8%","3.0%","N","N","7.6%","24.3%"
" -> Merced County, California","","","","","","","","","","",""
"    Estimate","146,856","145,064","32.2","80,706","9,121","6,454","19,979","1,490","464","130,037","44,032"
"    Percent","50.3%","49.7%","(X)","27.6%","3.1%","2.2%","6.8%","0.5%","0.2%","44.5%","15.1%"
" -> Monterey County, California","","","","","","","","","","",""
"    Estimate","218,121","212,602","35.9","142,220","9,784","5,775","24,248","4,499","2,299","179,411","66,041"
"    Percent","50.6%","49.4%","(X)","33.0%","2.3%","1.3%","5.6%","1.0%","0.5%","41.7%","15.3%"
" -> Napa County, California","","","","","","","","","","",""
"    Estimate","66,486","66,730","43.6","73,108","3,673","581","12,023","1,096","326","19,613","23,972"
"    Percent","49.9%","50.1%","(X)","54.9%","2.8%","0.4%","9.0%","0.8%","0.2%","14.7%","18.0%"
" -> Nevada County, California","","","","","","","","","","",""
"    Estimate","49,290","52,747","49.9","81,634","181","452","2,013","N","N","6,472","11,285"
"    Percent","48.3%","51.7%","(X)","80.0%","0.2%","0.4%","2.0%","N","N","6.3%","11.1%"
" -> Orange County, California","","","","","","","","","","",""
"    Estimate","1,552,028","1,583,727","39.7","1,293,307","53,444","29,710","718,682","139,939","31,966","461,626","569,397"
"    Percent","49.5%","50.5%","(X)","41.2%","1.7%","0.9%","22.9%","4.5%","1.0%","14.7%","18.2%"
" -> Placer County, California","","","","","","","","","","",""
"    Estimate","208,658","214,903","42.4","287,535","8,932","2,098","41,374","4,798","1,152","19,078","63,289"
"    Percent","49.3%","50.7%","(X)","67.9%","2.1%","0.5%","9.8%","1.1%","0.3%","4.5%","14.9%"
" -> Riverside County, California","","","","","","","","","","",""
"    Estimate","1,250,296","1,242,146","37.1","899,421","156,044","42,095","178,958","28,794","6,048","628,277","579,145"
"    Percent","50.2%","49.8%","(X)","36.1%","6.3%","1.7%","7.2%","1.2%","0.2%","25.2%","23.2%"
" -> Sacramento County, California","","","","","","","","","","",""
"    Estimate","779,583","804,705","38.0","679,718","146,724","18,477","285,613","50,907","8,244","198,139","235,802"
"    Percent","49.2%","50.8%","(X)","42.9%","9.3%","1.2%","18.0%","3.2%","0.5%","12.5%","14.9%"
" -> San Benito County, California","","","","","","","","","","",""
"    Estimate","34,245","33,930","36.6","23,357","826","426","3,169","N","N","12,207","28,190"
"    Percent","50.2%","49.8%","(X)","34.3%","1.2%","0.6%","4.6%","N","N","17.9%","41.3%"
" -> San Bernardino County, California","","","","","","","","","","",""
"    Estimate","1,098,689","1,096,922","34.9","674,305","174,522","32,223","189,895","56,214","5,067","674,524","442,440"
"    Percent","50.0%","50.0%","(X)","30.7%","7.9%","1.5%","8.6%","2.6%","0.2%","30.7%","20.2%"
" -> San Diego County, California","","","","","","","","","","",""
"    Estimate","1,652,542","1,617,431","37.6","1,532,103","152,177","38,289","412,931","66,023","17,901","420,500","701,056"
"    Percent","50.5%","49.5%","(X)","46.9%","4.7%","1.2%","12.6%","2.0%","0.5%","12.9%","21.4%"
" -> San Francisco County, California","","","","","","","","","","",""
"    Estimate","416,060","392,928","40.7","315,781","38,954","7,549","290,315","169,534","9,295","61,524","92,044"
"    Percent","51.4%","48.6%","(X)","39.0%","4.8%","0.9%","35.9%","21.0%","1.1%","7.6%","11.4%"
" -> San Joaquin County, California","","","","","","","","","","",""
"    Estimate","400,884","400,081","36.0","250,177","54,826","14,619","154,738","9,679","1,582","174,216","147,245"
"    Percent","50.1%","49.9%","(X)","31.2%","6.8%","1.8%","19.3%","1.2%","0.2%","21.8%","18.4%"
" -> San Luis Obispo County, California","","","","","","","","","","",""
"    Estimate","141,833","139,806","41.0","192,900","3,359","2,031","10,892","2,268","654","25,852","46,538"
"    Percent","50.4%","49.6%","(X)","68.5%","1.2%","0.7%","3.9%","0.8%","0.2%","9.2%","16.5%"
" -> San Mateo County, California","","","","","","","","","","",""
"    Estimate","362,901","363,452","41.5","273,188","14,780","9,446","232,388","97,337","5,981","87,398","100,750"
"    Percent","50.0%","50.0%","(X)","37.6%","2.0%","1.3%","32.0%","13.4%","0.8%","12.0%","13.9%"
" -> Santa Barbara County, California","","","","","","","","","","",""
"    Estimate","220,115","221,142","34.9","209,567","7,032","14,115","24,067","5,343","1,247","66,072","119,997"
"    Percent","49.9%","50.1%","(X)","47.5%","1.6%","3.2%","5.5%","1.2%","0.3%","15.0%","27.2%"
" -> Santa Clara County, California","","","","","","","","","","",""
"    Estimate","957,112","920,480","38.3","547,247","45,818","18,064","771,154","234,959","22,053","216,643","269,533"
"    Percent","51.0%","49.0%","(X)","29.1%","2.4%","1.0%","41.1%","12.5%","1.2%","11.5%","14.4%"
" -> Santa Cruz County, California","","","","","","","","","","",""
"    Estimate","130,912","130,635","39.8","157,195","2,277","3,146","12,522","2,376","364","50,107","36,236"
"    Percent","50.1%","49.9%","(X)","60.1%","0.9%","1.2%","4.8%","0.9%","0.1%","19.2%","13.9%"
" -> Shasta County, California","","","","","","","","","","",""
"    Estimate","87,720","92,646","41.2","138,765","2,107","3,431","7,322","N","N","5,647","21,988"
"    Percent","48.6%","51.4%","(X)","76.9%","1.2%","1.9%","4.1%","N","N","3.1%","12.2%"
" -> Solano County, California","","","","","","","","","","",""
"    Estimate","224,837","224,381","40.0","170,865","54,465","4,653","77,360","4,950","1,281","62,993","74,501"
"    Percent","50.1%","49.9%","(X)","38.0%","12.1%","1.0%","17.2%","1.1%","0.3%","14.0%","16.6%"
" -> Sonoma County, California","","","","","","","","","","",""
"    Estimate","237,442","244,370","43.3","293,929","8,029","7,296","21,802","4,387","1,052","69,475","79,789"
"    Percent","49.3%","50.7%","(X)","61.0%","1.7%","1.5%","4.5%","0.9%","0.2%","14.4%","16.6%"
" -> Stanislaus County, California","","","","","","","","","","",""
"    Estimate","275,169","276,261","35.1","225,211","16,326","6,525","34,577","1,807","271","106,639","157,452"
"    Percent","49.9%","50.1%","(X)","40.8%","3.0%","1.2%","6.3%","0.3%","0.0%","19.3%","28.6%"
" -> Sutter County, California","","","","","","","","","","",""
"    Estimate","47,202","50,746","38.0","44,719","1,549","1,823","17,605","N","N","18,493","13,612"
"    Percent","48.2%","51.8%","(X)","45.7%","1.6%","1.9%","18.0%","N","N","18.9%","13.9%"
" -> Tehama County, California","","","","","","","","","","",""
"    Estimate","32,660","32,236","40.2","42,358","230","1,912","1,097","N","N","12,763","6,221"
"    Percent","50.3%","49.7%","(X)","65.3%","0.4%","2.9%","1.7%","N","N","19.7%","9.6%"
" -> Tulare County, California","","","","","","","","","","",""
"    Estimate","240,439","239,029","32.4","150,527","6,711","8,454","17,760","1,684","1,294","189,032","106,204"
"    Percent","50.1%","49.9%","(X)","31.4%","1.4%","1.8%","3.7%","0.4%","0.3%","39.4%","22.2%"
" -> Ventura County, California","","","","","","","","","","",""
"    Estimate","412,166","417,424","39.9","424,667","16,560","11,785","60,259","10,208","4,842","104,378","210,107"
"    Percent","49.7%","50.3%","(X)","51.2%","2.0%","1.4%","7.3%","1.2%","0.6%","12.6%","25.3%"
" -> Yolo County, California","","","","","","","","","","",""
"    Estimate","108,080","112,464","32.6","113,458","6,586","3,877","35,323","11,839","1,112","25,564","35,486"
"    Percent","49.0%","51.0%","(X)","51.4%","3.0%","1.8%","16.0%","5.4%","0.5%","11.6%","16.1%"
" -> Yuba County, California","","","","","","","","","","",""
"    Estimate","44,117","41,605","34.4","45,366","3,969","1,685","7,119","680","0","13,145","14,438"
"    Percent","51.5%","48.5%","(X)","52.9%","4.6%","2.0%","8.3%","0.8%","0.0%","15.3%","16.8%"
" -> Adams County, Colorado","","","","","","","","","","",""
"    Estimate","271,126","262,239","35.1","283,828","18,258","7,479","22,285","2,699","1,898","77,841","123,177"
"    Percent","50.8%","49.2%","(X)","53.2%","3.4%","1.4%","4.2%","0.5%","0.4%","14.6%","23.1%"
" -> Arapahoe County, Colorado","","","","","","","","","","",""
"    Estimate","326,943","329,118","37.4","385,165","69,287","8,266","39,360","4,372","1,167","55,909","96,021"
"    Percent","49.8%","50.2%","(X)","58.7%","10.6%","1.3%","6.0%","0.7%","0.2%","8.5%","14.6%"
" -> Boulder County, Colorado","","","","","","","","","","",""
"    Estimate","164,956","161,875","38.2","254,225","3,810","1,069","15,712","4,201","1,234","7,617","44,140"
"    Percent","50.5%","49.5%","(X)","77.8%","1.2%","0.3%","4.8%","1.3%","0.4%","2.3%","13.5%"
" -> Broomfield County, Colorado","","","","","","","","","","",""
"    Estimate","39,111","37,749","37.9","57,276","695","1,170","4,081","590","286","2,725","10,913"
"    Percent","50.9%","49.1%","(X)","74.5%","0.9%","1.5%","5.3%","0.8%","0.4%","3.5%","14.2%"
" -> Denver County, Colorado","","","","","","","","","","",""
"    Estimate","363,305","353,272","35.4","426,697","59,679","8,945","27,260","3,704","1,494","54,726","137,487"
"    Percent","50.7%","49.3%","(X)","59.5%","8.3%","1.2%","3.8%","0.5%","0.2%","7.6%","19.2%"
" -> Douglas County, Colorado","","","","","","","","","","",""
"    Estimate","192,329","191,577","39.8","302,651","5,448","1,950","21,449","3,288","1,079","10,416","41,992"
"    Percent","50.1%","49.9%","(X)","78.8%","1.4%","0.5%","5.6%","0.9%","0.3%","2.7%","10.9%"
" -> El Paso County, Colorado","","","","","","","","","","",""
"    Estimate","378,453","365,762","35.4","526,029","44,884","8,603","23,497","3,758","1,092","40,435","98,341"
"    Percent","50.9%","49.1%","(X)","70.7%","6.0%","1.2%","3.2%","0.5%","0.1%","5.4%","13.2%"
" -> Jefferson County, Colorado","","","","","","","","","","",""
"    Estimate","291,092","285,274","40.7","461,252","6,415","5,542","17,100","3,793","865","14,441","71,127"
"    Percent","50.5%","49.5%","(X)","80.0%","1.1%","1.0%","3.0%","0.7%","0.2%","2.5%","12.3%"
" -> Larimer County, Colorado","","","","","","","","","","",""
"    Estimate","185,371","185,400","37.3","306,329","4,060","2,676","8,119","2,836","178","8,756","40,071"
"    Percent","50.0%","50.0%","(X)","82.6%","1.1%","0.7%","2.2%","0.8%","0.0%","2.4%","10.8%"
" -> Mesa County, Colorado","","","","","","","","","","",""
"    Estimate","78,601","81,080","41.6","129,291","604","1,375","1,784","N","N","8,453","17,971"
"    Percent","49.2%","50.8%","(X)","81.0%","0.4%","0.9%","1.1%","N","N","5.3%","11.3%"
" -> Pueblo County, Colorado","","","","","","","","","","",""
"    Estimate","84,508","84,914","41.2","125,209","3,416","3,505","1,687","N","N","11,554","23,836"
"    Percent","49.9%","50.1%","(X)","73.9%","2.0%","2.1%","1.0%","N","N","6.8%","14.1%"
" -> Weld County, Colorado","","","","","","","","","","",""
"    Estimate","182,473","176,969","35.4","256,384","5,210","6,704","6,473","520","454","30,606","53,605"
"    Percent","50.8%","49.2%","(X)","71.3%","1.4%","1.9%","1.8%","0.1%","0.1%","8.5%","14.9%"
" -> Capitol Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","477,604","497,724","40.6","624,051","123,430","1,853","57,005","6,363","641","67,979","99,005"
"    Percent","49.0%","51.0%","(X)","64.0%","12.7%","0.2%","5.8%","0.7%","0.1%","7.0%","10.2%"
" -> Greater Bridgeport Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","161,282","166,369","40.3","177,372","44,964","2,433","17,157","2,846","225","47,233","38,492"
"    Percent","49.2%","50.8%","(X)","54.1%","13.7%","0.7%","5.2%","0.9%","0.1%","14.4%","11.7%"
" -> Lower Connecticut River Valley Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","86,852","89,363","45.8","142,185","9,239","226","6,377","1,740","33","3,432","13,667"
"    Percent","49.3%","50.7%","(X)","80.7%","5.2%","0.1%","3.6%","1.0%","0.0%","1.9%","7.8%"
" -> Naugatuck Valley Planning Region, Connecticut","","","","","","","","","","",""
